"Zip_Code","Zip_Code_Sq_Mi","Supervisor_District","District","Sq_in_SD","Proportion_in_SD","Median_HH_Income_ZCTA","Per_Capita_Income_ZCTA","Population_in_SD2","Latinx_in_SD2","Black_in_SD2","Asian_in_SD2","Amer_Ind_in_SD2","Pac_Islander_in_SD2","Other_in_SD2","White_in_SD2","Native_Born_in_SD2","Immi_Citizen_in_SD2","Immi_NonCitizen_in_SD2","Housing_Units_in_SD2","Owner_Units_in_SD2","Renter_Units_in_SD2","Rent_Burden_in_SD2","Severe_Rent_Burden_in_SD2","Pop_25_n_older_SD2","Less_than_HS_SD2","HS_Diploma_SD2","Bachelors_or_Higher_SD2","Poor_or_Struggling_SD2","Doing_Okay_SD2"
"90089",0.28457,"District 2","2",0.2624,0.922093,NA,7447,3491,"0.15","0.07","0.31","0.00","0.01","0.01","0.43","0.79","0.04","0.13",8,"0.00","1.04","0.00","1.00",32,"0.00","0.58","0.43","0.01","0.00"
"90029",1.35664,"District 2","2",0.256281,0.188909,41998,25449,6927,"0.53","0.03","0.17","0.00","0.00","0.00","0.25","0.49","0.24","0.27",2644,"0.10","0.90","0.27","0.31",5275,"0.26","0.44","0.30","0.49","0.50"
"90301",2.45461,"District 2","2",2.45461,1,47464,21761,38234,"0.60","0.29","0.02","0.01","0.01","0.00","0.04","0.67","0.14","0.18",12046,"0.25","0.75","0.29","0.28",24929,"0.29","0.56","0.14","0.47","0.53"
"90502",2.2462,"District 2","2",1.67141,0.744106,73826,35092,13229,"0.37","0.06","0.37","0.00","0.00","0.01","0.16","0.55","0.26","0.16",4446,"0.68","0.32","0.28","0.17",10244,"0.17","0.47","0.36","0.23","0.73"
"90305",2.32129,"District 2","2",2.32129,1,80165,39430,15042,"0.12","0.81","0.01","0.00","0.00","0.00","0.03","0.87","0.06","0.07",5814,"0.64","0.36","0.25","0.25",11744,"0.07","0.59","0.33","0.19","0.80"
"90745",8.36405,"District 2","2",8.35928,0.99943,80176,27395,56898,"0.42","0.07","0.37","0.00","0.03","0.00","0.07","0.55","0.28","0.14",14927,"0.68","0.32","0.27","0.19",39298,"0.21","0.52","0.27","0.26","0.73"
"90014",0.294805,"District 2","2",0.135072,0.458174,40641,46007,3981,"0.15","0.23","0.19","0.00","0.00","0.01","0.38","0.71","0.15","0.11",2586,"0.03","0.97","0.28","0.19",3687,"0.14","0.42","0.44","0.50","0.49"
"90006",1.91765,"District 2","2",1.59084,0.829578,37072,17791,49423,"0.73","0.03","0.18","0.00","0.00","0.00","0.05","0.42","0.17","0.39",16042,"0.09","0.91","0.29","0.31",33795,"0.42","0.39","0.19","0.61","0.38"
"90035",2.07365,"District 2","2",1.8173,0.876377,89337,60302,23901,"0.11","0.06","0.07","0.00","0.00","0.00","0.71","0.72","0.17","0.09",10355,"0.33","0.67","0.21","0.30",17244,"0.05","0.32","0.63","0.20","0.79"
"90036",2.47287,"District 2","2",0.450596,0.182216,80539,59781,6918,"0.10","0.06","0.16","0.00","0.00","0.01","0.63","0.70","0.13","0.15",3382,"0.17","0.83","0.26","0.30",5261,"0.02","0.29","0.69","0.20","0.79"
"90037",2.82008,"District 2","2",2.82008,1,35424,14445,67640,"0.80","0.16","0.01","0.00","0.00","0.00","0.02","0.55","0.13","0.31",17699,"0.24","0.76","0.27","0.41",41374,"0.48","0.45","0.07","0.63","0.37"
"90056",1.57758,"District 2","2",1.57758,1,92656,57289,7649,"0.09","0.68","0.05","0.00","0.00","0.00","0.11","0.90","0.08","0.01",3412,"0.67","0.33","0.35","0.26",5824,"0.05","0.44","0.52","0.13","0.86"
"90004",3.04309,"District 2","2",1.52981,0.502716,49675,32090,30435,"0.50","0.03","0.25","0.00","0.00","0.00","0.18","0.50","0.20","0.29",11062,"0.17","0.83","0.28","0.30",21931,"0.25","0.40","0.35","0.46","0.53"
"90008",3.68879,"District 2","2",3.68879,1,43364,33723,31754,"0.24","0.64","0.03","0.00","0.00","0.01","0.06","0.82","0.09","0.09",14858,"0.33","0.67","0.25","0.39",23860,"0.16","0.54","0.30","0.40","0.59"
"90021",2.09996,"District 2","2",1.0167,0.484152,21635,35141,1426,"0.48","0.18","0.06","0.01","0.00","0.01","0.25","0.66","0.11","0.23",840,"0.09","0.91","0.28","0.19",1184,"0.33","0.37","0.30","0.53","0.47"
"90506",0.157744,"District 2","2",0.157688,0.999645,NA,NA,0,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN","NaN"
"90057",0.898025,"District 2","2",0.129822,0.144564,37700,18216,7250,"0.70","0.04","0.18","0.00","0.00","0.00","0.07","0.42","0.15","0.43",2501,"0.04","0.96","0.29","0.27",4921,"0.43","0.37","0.20","0.60","0.38"
"90262",4.89034,"District 2","2",4.82744,0.987138,52313,16279,69629,"0.88","0.08","0.01","0.00","0.00","0.00","0.02","0.62","0.13","0.24",15176,"0.46","0.54","0.31","0.30",41327,"0.43","0.49","0.08","0.48","0.48"
"90746",5.86282,"District 2","2",5.86282,1,89364,34611,27075,"0.18","0.63","0.08","0.00","0.01","0.00","0.06","0.80","0.14","0.05",8205,"0.84","0.16","0.23","0.28",19738,"0.13","0.53","0.34","0.20","0.80"
"90747",0.00578245,"District 2","2",0.00578245,1,NA,NA,0,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN","NaN"
"90044",5.14031,"District 2","2",5.14031,1,35981,16278,99443,"0.65","0.32","0.01","0.00","0.00","0.00","0.01","0.66","0.10","0.23",29029,"0.29","0.71","0.28","0.39",59728,"0.38","0.54","0.08","0.57","0.43"
"90003",3.54104,"District 2","2",3.54104,1,40598,13441,73730,"0.78","0.20","0.00","0.00","0.00","0.00","0.00","0.62","0.10","0.27",17484,"0.28","0.72","0.27","0.39",42049,"0.48","0.46","0.06","0.63","0.37"
"90810",6.8973,"District 2","2",3.33664,0.48376,60227,20883,18021,"0.55","0.10","0.23","0.00","0.02","0.00","0.06","0.61","0.21","0.16",4547,"0.55","0.45","0.25","0.25",11452,"0.28","0.55","0.17","0.42","0.57"
"90061",2.63315,"District 2","2",2.63315,1,42500,16848,27873,"0.67","0.29","0.01","0.00","0.00","0.00","0.01","0.68","0.09","0.22",7396,"0.42","0.58","0.22","0.41",17375,"0.42","0.50","0.07","0.54","0.45"
"90018",2.89767,"District 2","2",2.89767,1,45984,22530,53490,"0.59","0.28","0.05","0.00","0.00","0.00","0.06","0.62","0.16","0.22",16568,"0.31","0.69","0.25","0.34",35357,"0.29","0.50","0.21","0.46","0.53"
"90019",3.89208,"District 2","2",3.89208,1,56389,34267,64534,"0.44","0.18","0.17","0.00","0.00","0.01","0.17","0.59","0.17","0.23",24464,"0.28","0.72","0.26","0.29",47202,"0.24","0.42","0.35","0.40","0.59"
"90094",0.609467,"District 2","2",0.608168,0.997869,155417,93577,9806,"0.12","0.07","0.26","0.00","0.00","0.00","0.51","0.77","0.08","0.12",4352,"0.39","0.61","0.20","0.23",7164,"0.01","0.18","0.82","0.13","0.86"
