"Zip_Code","Zip_Code_Sq_Mi","Supervisor_District","District","Sq_in_SD","Proportion_in_SD","Median_HH_Income_ZCTA","Per_Capita_Income_ZCTA","Population_in_SD5","Latinx_in_SD5","Black_in_SD5","Asian_in_SD5","Amer_Ind_in_SD5","Pac_Islander_in_SD5","Other_in_SD5","White_in_SD5","Native_Born_in_SD5","Immi_Citizen_in_SD5","Immi_NonCitizen_in_SD5","Housing_Units_in_SD5","Owner_Units_in_SD5","Renter_Units_in_SD5","Rent_Burden_in_SD5","Severe_Rent_Burden_in_SD5","Pop_25_n_older_SD5","Less_than_HS_SD5","HS_Diploma_SD5","Bachelors_or_Higher_SD5","Poor_or_Struggling_SD5","Doing_Okay_SD5"
"91008",2.02455,"District 5","5",2.02455,1,96500,68544,1084,"0.14","0.02","0.29","0.01","0.00","0.00","0.53","0.70","0.20","0.09",426,"0.61","0.39","0.15","0.33",878,"0.10","0.38","0.52","0.14","0.81"
"91210",0.042039,"District 5","5",0.042039,1,135741,72699,529,"0.06","0.02","0.27","0.00","0.00","0.00","0.63","0.54","0.12","0.30",228,"0.18","0.82","0.24","0.24",374,"0.00","0.27","0.73","0.35","0.65"
"93532",114.032,"District 5","5",114.032,1,64969,33699,2683,"0.29","0.02","0.03","0.01","0.00","0.00","0.61","0.92","0.05","0.03",976,"0.79","0.21","0.43","0.04",1922,"0.09","0.71","0.21","0.27","0.68"
"91502",1.33849,"District 5","5",1.33849,1,47148,29982,10708,"0.31","0.03","0.16","0.00","0.00","0.01","0.47","0.51","0.31","0.16",5071,"0.09","0.91","0.26","0.30",8221,"0.13","0.53","0.33","0.42","0.58"
"91030",3.41256,"District 5","5",3.40352,0.997351,104432,60708,25569,"0.19","0.03","0.30","0.00","0.00","0.01","0.43","0.73","0.16","0.09",9789,"0.47","0.53","0.19","0.18",18032,"0.04","0.29","0.68","0.15","0.85"
"91108",3.84173,"District 5","5",3.84173,1,165765,80469,13375,"0.06","0.02","0.60","0.00","0.00","0.00","0.29","0.57","0.32","0.10",4582,"0.86","0.14","0.12","0.17",9861,"0.02","0.20","0.78","0.11","0.89"
"91803",3.26522,"District 5","5",3.25409,0.996591,63264,29494,29466,"0.40","0.02","0.48","0.00","0.00","0.00","0.08","0.51","0.32","0.17",9611,"0.49","0.51","0.23","0.29",21495,"0.20","0.49","0.31","0.35","0.64"
"91702",170.697,"District 5","5",160.74,0.941669,68852,22666,58446,"0.67","0.03","0.11","0.00","0.00","0.00","0.17","0.69","0.15","0.14",14598,"0.58","0.42","0.25","0.28",34916,"0.22","0.57","0.21","0.33","0.58"
"93550",196.785,"District 5","5",196.785,1,45918,17074,77506,"0.68","0.13","0.03","0.01","0.00","0.00","0.14","0.74","0.13","0.13",21548,"0.52","0.48","0.26","0.36",44284,"0.32","0.59","0.09","0.53","0.47"
"93553",86.6164,"District 5","5",86.6164,1,51630,30285,1709,"0.43","0.01","0.01","0.00","0.00","0.00","0.52","0.79","0.14","0.06",670,"0.76","0.24","0.10","0.69",1240,"0.29","0.52","0.19","0.43","0.57"
