"Zip_Code","Zip_Code_Sq_Mi","Supervisor_District","District","Sq_in_SD","Proportion_in_SD","Median_HH_Income_ZCTA","Per_Capita_Income_ZCTA","Population_in_SD3","Latinx_in_SD3","Black_in_SD3","Asian_in_SD3","Amer_Ind_in_SD3","Pac_Islander_in_SD3","Other_in_SD3","White_in_SD3","Native_Born_in_SD3","Immi_Citizen_in_SD3","Immi_NonCitizen_in_SD3","Housing_Units_in_SD3","Owner_Units_in_SD3","Renter_Units_in_SD3","Rent_Burden_in_SD3","Severe_Rent_Burden_in_SD3","Pop_25_n_older_SD3","Less_than_HS_SD3","HS_Diploma_SD3","Bachelors_or_Higher_SD3","Poor_or_Struggling_SD3","Doing_Okay_SD3"
"90263",0.225734,"District 3","3",0.225734,1,NA,15751,1838,"0.20","0.06","0.22","0.00","0.00","0.00","0.45","0.82","0.03","0.13",0,"NaN","NaN","NaN","NaN",33,"0.00","0.06","0.94","0.00","0.00"
"90004",3.04309,"District 3","3",1.4906,0.489831,49675,32090,29655,"0.50","0.03","0.25","0.00","0.00","0.00","0.18","0.50","0.20","0.29",10778,"0.17","0.83","0.28","0.30",21369,"0.25","0.40","0.35","0.46","0.53"
"91608",0.605654,"District 3","3",0.605654,1,NA,NA,21,"1.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00",10,"0.00","1.00","1.00","0.00",21,"0.00","0.52","0.48","0.52","0.48"
"90069",2.11768,"District 3","3",2.11768,1,93380,92082,20230,"0.09","0.03","0.07","0.00","0.00","0.00","0.76","0.74","0.15","0.10",12488,"0.36","0.64","0.22","0.22",18195,"0.01","0.31","0.67","0.19","0.81"
"90403",1.39004,"District 3","3",1.39004,1,107420,80707,23902,"0.07","0.02","0.10","0.00","0.00","0.00","0.75","0.75","0.14","0.09",12739,"0.24","0.76","0.20","0.17",19827,"0.01","0.24","0.75","0.15","0.85"
"91335",6.59607,"District 3","3",6.59607,1,63748,26668,81824,"0.53","0.04","0.12","0.00","0.00","0.01","0.29","0.54","0.26","0.19",24391,"0.48","0.52","0.26","0.34",55881,"0.23","0.52","0.25","0.36","0.63"
"90265",107.902,"District 3","3",75.1073,0.69607,152378,110410,12497,"0.10","0.02","0.04","0.00","0.00","0.00","0.80","0.85","0.07","0.05",5145,"0.78","0.22","0.15","0.19",9343,"0.02","0.31","0.67","0.12","0.84"
"90401",0.802703,"District 3","3",0.802703,1,82681,76874,7111,"0.11","0.10","0.07","0.00","0.00","0.00","0.68","0.74","0.15","0.10",4603,"0.07","0.93","0.25","0.24",6080,"0.04","0.26","0.70","0.29","0.70"
"91316",5.27003,"District 3","3",5.27003,1,76978,47593,30499,"0.14","0.03","0.08","0.00","0.00","0.00","0.72","0.61","0.27","0.10",12409,"0.50","0.50","0.22","0.36",22670,"0.07","0.44","0.49","0.22","0.77"
"91330",0.338124,"District 3","3",0.222817,0.65898,NA,5897,2146,"0.36","0.14","0.19","0.00","0.01","0.00","0.26","0.84","0.03","0.12",0,"NaN","NaN","NaN","NaN",135,"0.00","0.57","0.43","0.00","0.00"
"91411",2.02284,"District 3","3",2.02284,1,58605,30645,26111,"0.50","0.05","0.07","0.00","0.00","0.00","0.35","0.58","0.17","0.23",9493,"0.25","0.75","0.31","0.31",17648,"0.23","0.42","0.35","0.41","0.58"
"91340",3.41604,"District 3","3",3.41604,1,57398,19777,36156,"0.93","0.01","0.01","0.00","0.00","0.00","0.04","0.60","0.17","0.21",8886,"0.56","0.44","0.25","0.35",23062,"0.39","0.50","0.11","0.43","0.56"
"90212",0.943263,"District 3","3",0.939056,0.99554,95080,71351,13255,"0.06","0.01","0.10","0.00","0.00","0.00","0.77","0.69","0.18","0.11",5861,"0.27","0.73","0.22","0.27",9605,"0.02","0.34","0.64","0.17","0.83"
"91364",7.60079,"District 3","3",7.60079,1,106225,58037,27971,"0.14","0.06","0.07","0.00","0.00","0.00","0.70","0.72","0.20","0.06",10648,"0.67","0.33","0.21","0.29",20781,"0.04","0.42","0.54","0.16","0.84"
"91607",2.4679,"District 3","3",2.4679,1,71691,44231,30611,"0.20","0.06","0.06","0.00","0.00","0.00","0.64","0.71","0.21","0.07",13607,"0.30","0.70","0.29","0.27",23713,"0.08","0.43","0.49","0.25","0.74"
"91606",3.34323,"District 3","3",3.34323,1,50155,25302,44295,"0.53","0.04","0.05","0.00","0.00","0.00","0.36","0.55","0.26","0.17",15401,"0.32","0.68","0.26","0.34",31424,"0.24","0.52","0.23","0.41","0.58"
"91325",4.82672,"District 3","3",4.01383,0.831585,71400,35680,28752,"0.38","0.07","0.16","0.00","0.00","0.00","0.37","0.65","0.18","0.15",9912,"0.48","0.52","0.26","0.37",19200,"0.12","0.49","0.39","0.30","0.69"
"91301",34.1911,"District 3","3",34.1904,0.999979,124012,65059,26333,"0.11","0.03","0.07","0.00","0.00","0.00","0.75","0.78","0.16","0.05",9295,"0.79","0.21","0.20","0.26",18527,"0.03","0.38","0.59","0.11","0.89"
"91601",2.64203,"District 3","3",2.64199,0.999985,53911,36153,36840,"0.35","0.07","0.07","0.00","0.00","0.00","0.47","0.68","0.17","0.13",16710,"0.18","0.82","0.27","0.32",28685,"0.13","0.47","0.41","0.38","0.62"
"90020",1.12848,"District 3","3",0.465648,0.412633,49068,33220,16171,"0.32","0.07","0.45","0.00","0.00","0.00","0.12","0.40","0.25","0.33",6766,"0.09","0.91","0.29","0.28",11838,"0.18","0.41","0.42","0.42","0.58"
"91371",0.238401,"District 3","3",0.238401,1,NA,NA,0,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN","NaN"
"91604",5.21715,"District 3","3",5.21715,1,111341,77679,32910,"0.10","0.05","0.08","0.00","0.00","0.00","0.73","0.80","0.13","0.06",14641,"0.47","0.53","0.21","0.25",25365,"0.03","0.31","0.66","0.14","0.85"
"90049",15.0149,"District 3","3",15.0149,1,129688,105369,36418,"0.06","0.02","0.08","0.00","0.00","0.00","0.81","0.80","0.13","0.05",16720,"0.51","0.49","0.23","0.22",27447,"0.02","0.19","0.79","0.12","0.86"
"91304",9.44155,"District 3","3",2.24014,0.237264,70505,32549,12898,"0.41","0.05","0.15","0.00","0.00","0.01","0.35","0.62","0.18","0.19",4154,"0.50","0.50","0.30","0.31",8889,"0.17","0.52","0.31","0.33","0.66"
"90048",1.88498,"District 3","3",1.66305,0.882264,100586,81692,18959,"0.09","0.03","0.08","0.00","0.00","0.00","0.74","0.74","0.17","0.07",10266,"0.30","0.70","0.25","0.24",16227,"0.04","0.28","0.68","0.15","0.83"
"90290",20.0592,"District 3","3",20.0592,1,129772,69791,5681,"0.06","0.02","0.06","0.00","0.00","0.00","0.83","0.83","0.11","0.05",2275,"0.72","0.28","0.17","0.31",4217,"0.02","0.27","0.71","0.13","0.87"
"90211",0.700885,"District 3","3",0.700879,0.999991,86437,76317,8019,"0.09","0.04","0.12","0.00","0.00","0.00","0.71","0.58","0.27","0.12",3661,"0.30","0.70","0.20","0.32",6108,"0.04","0.33","0.63","0.18","0.82"
"91307",8.04985,"District 3","3",4.3416,0.539339,120474,50934,14207,"0.14","0.04","0.17","0.00","0.00","0.00","0.61","0.72","0.20","0.07",4665,"0.84","0.16","0.25","0.25",10035,"0.07","0.43","0.50","0.14","0.86"
"90038",1.56427,"District 3","3",1.56412,0.999904,47116,28564,28577,"0.54","0.06","0.05","0.00","0.00","0.00","0.30","0.56","0.16","0.27",12228,"0.09","0.91","0.25","0.33",20786,"0.26","0.40","0.34","0.47","0.52"
"90005",1.06259,"District 3","3",0.0308823,0.0290632,38491,24267,1155,"0.49","0.05","0.34","0.00","0.00","0.01","0.09","0.42","0.20","0.36",488,"0.08","0.92","0.30","0.31",844,"0.30","0.39","0.31","0.54","0.45"
"90039",3.97338,"District 3","3",1.2752,0.320936,90538,51159,9471,"0.39","0.01","0.15","0.01","0.00","0.00","0.39","0.66","0.20","0.12",3750,"0.46","0.54","0.26","0.18",7397,"0.13","0.36","0.51","0.21","0.78"
"91343",5.92544,"District 3","3",5.68672,0.959713,66661,25575,64054,"0.60","0.04","0.15","0.00","0.00","0.00","0.19","0.59","0.20","0.20",17308,"0.51","0.49","0.28","0.36",40212,"0.25","0.49","0.27","0.41","0.58"
"91306",4.172,"District 3","3",4.172,1,69917,27079,49678,"0.50","0.04","0.17","0.00","0.00","0.01","0.26","0.57","0.22","0.19",14654,"0.56","0.44","0.26","0.36",34113,"0.22","0.51","0.26","0.34","0.65"
"91403",3.63359,"District 3","3",3.63359,1,104802,70657,25156,"0.12","0.07","0.08","0.00","0.00","0.00","0.69","0.74","0.19","0.06",11400,"0.45","0.55","0.26","0.25",20128,"0.03","0.34","0.64","0.15","0.84"
"90028",1.51953,"District 3","3",1.51953,1,45499,39513,29774,"0.30","0.10","0.10","0.00","0.00","0.01","0.46","0.63","0.18","0.18",16403,"0.05","0.95","0.27","0.29",24341,"0.11","0.41","0.48","0.42","0.56"
"90027",8.23626,"District 3","3",8.22617,0.998775,66947,52257,44715,"0.22","0.02","0.13","0.00","0.00","0.00","0.59","0.63","0.21","0.15",21641,"0.19","0.81","0.23","0.27",36767,"0.10","0.36","0.55","0.30","0.68"
"90046",5.76428,"District 3","3",5.76428,1,72266,67271,50900,"0.11","0.05","0.06","0.00","0.00","0.00","0.73","0.71","0.17","0.10",29025,"0.23","0.77","0.24","0.27",44064,"0.03","0.35","0.61","0.25","0.74"
"90025",2.5561,"District 3","3",2.34911,0.919021,87280,57137,43086,"0.14","0.04","0.20","0.00","0.00","0.00","0.56","0.66","0.17","0.15",20232,"0.27","0.73","0.23","0.24",34382,"0.07","0.25","0.69","0.24","0.76"
"91356",7.31437,"District 3","3",7.31437,1,76929,53117,29822,"0.14","0.07","0.06","0.00","0.00","0.01","0.68","0.62","0.26","0.11",11802,"0.57","0.43","0.27","0.40",22354,"0.07","0.43","0.49","0.26","0.74"
"91436",5.75048,"District 3","3",5.75048,1,174085,90603,15292,"0.09","0.02","0.05","0.00","0.00","0.00","0.81","0.75","0.20","0.04",5600,"0.78","0.22","0.23","0.31",11154,"0.04","0.29","0.67","0.08","0.92"
"91324",4.40636,"District 3","3",2.8671,0.650673,80260,36569,19305,"0.34","0.05","0.19","0.00","0.00","0.00","0.39","0.61","0.22","0.16",6515,"0.51","0.49","0.26","0.33",13585,"0.12","0.47","0.41","0.27","0.72"
"91352",11.8636,"District 3","3",6.59238,0.555681,57145,21721,26159,"0.73","0.01","0.05","0.00","0.00","0.00","0.20","0.55","0.24","0.20",6910,"0.53","0.47","0.25","0.37",17359,"0.35","0.48","0.17","0.42","0.57"
"91401",3.45908,"District 3","3",3.45908,1,53882,32413,39755,"0.41","0.05","0.05","0.00","0.00","0.01","0.45","0.62","0.19","0.18",14933,"0.34","0.66","0.27","0.37",28407,"0.18","0.46","0.35","0.42","0.58"
"91311",32.9901,"District 3","3",0.398799,0.0120884,91897,42381,494,"0.26","0.05","0.16","0.00","0.00","0.01","0.49","0.70","0.22","0.07",173,"0.64","0.35","0.28","0.24",366,"0.07","0.52","0.41","0.19","0.80"
"91302",26.7352,"District 3","3",26.7345,0.999974,133996,81234,26711,"0.08","0.01","0.08","0.01","0.00","0.00","0.77","0.73","0.17","0.07",9488,"0.73","0.27","0.17","0.33",18301,"0.02","0.37","0.61","0.13","0.87"
"90402",1.99281,"District 3","3",1.99281,1,154583,133118,11882,"0.10","0.01","0.08","0.00","0.00","0.00","0.77","0.83","0.13","0.04",4999,"0.69","0.31","0.14","0.21",8660,"0.01","0.22","0.77","0.12","0.88"
"91331",8.88737,"District 3","3",8.88737,1,63807,19534,105458,"0.86","0.03","0.05","0.00","0.00","0.00","0.05","0.54","0.21","0.23",23447,"0.61","0.39","0.26","0.36",67152,"0.43","0.46","0.11","0.41","0.58"
"91342",55.3401,"District 3","3",15.3453,0.277291,74050,24976,26230,"0.76","0.04","0.05","0.00","0.00","0.00","0.14","0.64","0.18","0.17",6966,"0.65","0.35","0.31","0.30",17097,"0.29","0.53","0.19","0.34","0.65"
"90272",22.7682,"District 3","3",22.768,0.999991,192500,132785,21629,"0.05","0.00","0.06","0.00","0.00","0.00","0.83","0.85","0.09","0.05",8724,"0.79","0.21","0.15","0.23",15589,"0.02","0.20","0.78","0.08","0.92"
"91423",4.38996,"District 3","3",4.38996,1,90931,66356,33172,"0.15","0.06","0.06","0.00","0.00","0.00","0.68","0.77","0.14","0.08",15085,"0.39","0.61","0.28","0.26",25457,"0.04","0.36","0.60","0.18","0.82"
"91344",16.7579,"District 3","3",1.52715,0.0911302,96162,39174,4886,"0.31","0.03","0.18","0.00","0.00","0.00","0.46","0.64","0.27","0.08",1553,"0.75","0.25","0.31","0.31",3481,"0.11","0.51","0.38","0.19","0.80"
"91367",7.45507,"District 3","3",7.45488,0.999975,96085,52651,45969,"0.13","0.04","0.14","0.00","0.00","0.01","0.64","0.64","0.20","0.14",18433,"0.53","0.47","0.24","0.29",34694,"0.05","0.40","0.54","0.17","0.83"
"91402",3.7593,"District 3","3",3.7593,1,45796,18197,72059,"0.72","0.03","0.14","0.00","0.00","0.00","0.09","0.47","0.23","0.30",19839,"0.33","0.67","0.28","0.38",46285,"0.35","0.48","0.17","0.52","0.47"
"90077",7.46908,"District 3","3",7.46908,1,209531,126291,8382,"0.04","0.03","0.09","0.00","0.00","0.00","0.80","0.69","0.23","0.05",3173,"0.86","0.14","0.13","0.18",6019,"0.04","0.17","0.79","0.09","0.89"
"91602",2.09154,"District 3","3",2.09054,0.999522,84008,57116,19663,"0.17","0.05","0.08","0.00","0.00","0.00","0.64","0.78","0.13","0.08",9808,"0.33","0.67","0.26","0.25",16157,"0.05","0.39","0.56","0.20","0.80"
"91605",5.48503,"District 3","3",5.48467,0.999934,50623,22668,53109,"0.59","0.03","0.09","0.00","0.00","0.00","0.27","0.50","0.27","0.22",16270,"0.37","0.63","0.28","0.37",35694,"0.29","0.52","0.19","0.45","0.54"
"90291",2.49124,"District 3","3",2.19548,0.88128,99652,81187,23750,"0.20","0.05","0.04","0.00","0.00","0.00","0.68","0.80","0.09","0.09",12066,"0.34","0.66","0.21","0.24",19438,"0.06","0.28","0.66","0.19","0.80"
"90292",2.71303,"District 3","3",0.435158,0.160396,114726,85223,3777,"0.08","0.07","0.11","0.00","0.00","0.01","0.69","0.73","0.13","0.13",2022,"0.31","0.69","0.26","0.26",3151,"0.02","0.27","0.71","0.21","0.79"
"90210",10.1893,"District 3","3",10.1893,1,147270,117825,19314,"0.04","0.01","0.07","0.00","0.00","0.01","0.83","0.64","0.30","0.04",7936,"0.74","0.26","0.16","0.26",14488,"0.05","0.30","0.66","0.13","0.87"
"91406",8.14196,"District 3","3",8.14196,1,59472,27788,54890,"0.57","0.04","0.09","0.00","0.00","0.01","0.26","0.58","0.19","0.22",18398,"0.39","0.61","0.32","0.31",37180,"0.22","0.52","0.26","0.40","0.60"
"90068",7.94439,"District 3","3",7.93661,0.999021,88535,86299,21071,"0.11","0.04","0.06","0.00","0.00","0.01","0.75","0.78","0.10","0.10",11305,"0.50","0.50","0.22","0.30",17716,"0.04","0.31","0.66","0.19","0.80"
"91405",3.33751,"District 3","3",3.33751,1,47037,22996,55506,"0.62","0.05","0.07","0.00","0.00","0.00","0.24","0.51","0.20","0.27",18246,"0.27","0.73","0.30","0.36",36798,"0.26","0.52","0.22","0.50","0.50"
"90010",0.480052,"District 3","3",0.200648,0.417971,63112,44814,1597,"0.10","0.05","0.65","0.00","0.01","0.00","0.14","0.43","0.33","0.23",848,"0.18","0.82","0.26","0.34",1303,"0.08","0.42","0.50","0.30","0.70"
"90064",4.00363,"District 3","3",1.09024,0.272313,102117,71214,7060,"0.14","0.03","0.18","0.00","0.00","0.00","0.61","0.71","0.18","0.10",3018,"0.55","0.45","0.21","0.24",5203,"0.06","0.26","0.68","0.18","0.81"
"90024",2.93555,"District 3","3",2.93555,1,65855,46935,51627,"0.13","0.02","0.28","0.00","0.00","0.00","0.50","0.70","0.13","0.16",16515,"0.30","0.70","0.15","0.43",22164,"0.03","0.24","0.73","0.30","0.43"
