"Zip_Code","Zip_Code_Sq_Mi","Supervisor_District","District","Sq_in_SD","Proportion_in_SD","Median_HH_Income_ZCTA","Per_Capita_Income_ZCTA","Population_in_SD3","Latinx_in_SD3","Black_in_SD3","Asian_in_SD3","Amer_Ind_in_SD3","Pac_Islander_in_SD3","Other_in_SD3","White_in_SD3","Native_Born_in_SD3","Immi_Citizen_in_SD3","Immi_NonCitizen_in_SD3","Housing_Units_in_SD3","Owner_Units_in_SD3","Renter_Units_in_SD3","Rent_Burden_in_SD3","Severe_Rent_Burden_in_SD3","Pop_25_n_older_SD3","Less_than_HS_SD3","HS_Diploma_SD3","Bachelors_or_Higher_SD3","Poor_or_Struggling_SD3","Doing_Okay_SD3"
"91345",3.25069,"District 3","3",3.25007,0.999809,77273,26752,19141,"0.70","0.01","0.10","0.00","0.01","0.01","0.16","0.58","0.26","0.15",5401,"0.73","0.27","0.19","0.37",13126,"0.21","0.61","0.19","0.25","0.73"
"90029",1.35664,"District 3","3",0.955771,0.704513,41998,25449,25833,"0.53","0.03","0.17","0.00","0.00","0.00","0.25","0.49","0.24","0.27",9861,"0.10","0.90","0.27","0.31",19671,"0.26","0.44","0.30","0.49","0.50"
"90095",0.402465,"District 3","3",0.402465,1,NA,NA,0,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN","NaN"
"90405",2.6466,"District 3","3",2.63497,0.995606,95674,69542,28032,"0.16","0.03","0.07","0.00","0.00","0.01","0.66","0.79","0.11","0.08",13882,"0.34","0.66","0.20","0.24",22268,"0.05","0.27","0.68","0.22","0.77"
"90067",0.326927,"District 3","3",0.326917,0.999969,118393,129379,2428,"0.03","0.01","0.18","0.00","0.00","0.01","0.74","0.68","0.29","0.03",1421,"0.80","0.20","0.10","0.56",2185,"0.01","0.30","0.69","0.19","0.81"
"91303",2.17962,"District 3","3",2.17962,1,61250,26073,31586,"0.64","0.03","0.12","0.00","0.00","0.00","0.19","0.51","0.17","0.31",10097,"0.23","0.77","0.25","0.31",20857,"0.27","0.49","0.24","0.42","0.58"
"90404",1.99328,"District 3","3",1.99328,1,78542,51880,22929,"0.28","0.07","0.14","0.00","0.00","0.00","0.46","0.68","0.18","0.12",9957,"0.23","0.77","0.21","0.24",16974,"0.11","0.35","0.55","0.28","0.69"
"90073",0.334685,"District 3","3",0.334685,1,NA,12667,953,"0.22","0.25","0.11","0.00","0.00","0.00","0.38","0.90","0.06","0.03",0,"NaN","NaN","NaN","NaN",937,"0.23","0.67","0.10","0.72","0.10"
"90035",2.07365,"District 3","3",0.256354,0.123625,89337,60302,3372,"0.11","0.06","0.07","0.00","0.00","0.00","0.71","0.72","0.17","0.09",1461,"0.33","0.67","0.21","0.30",2432,"0.05","0.32","0.63","0.20","0.79"
"90036",2.47287,"District 3","3",2.02227,0.817783,80539,59781,31047,"0.10","0.06","0.16","0.00","0.00","0.01","0.63","0.70","0.13","0.15",15177,"0.17","0.83","0.26","0.30",23613,"0.02","0.29","0.69","0.20","0.79"
