"Zip_Code","Zip_Code_Sq_Mi","Supervisor_District","District","Sq_in_SD","Proportion_in_SD","Median_HH_Income_ZCTA","Per_Capita_Income_ZCTA","Population_in_SD4","Latinx_in_SD4","Black_in_SD4","Asian_in_SD4","Amer_Ind_in_SD4","Pac_Islander_in_SD4","Other_in_SD4","White_in_SD4","Native_Born_in_SD4","Immi_Citizen_in_SD4","Immi_NonCitizen_in_SD4","Housing_Units_in_SD4","Owner_Units_in_SD4","Renter_Units_in_SD4","Rent_Burden_in_SD4","Severe_Rent_Burden_in_SD4","Pop_25_n_older_SD4","Less_than_HS_SD4","HS_Diploma_SD4","Bachelors_or_Higher_SD4","Poor_or_Struggling_SD4","Doing_Okay_SD4"
"90805",7.52135,"District 4","4",7.50377,0.997663,50914,19700,95771,"0.60","0.18","0.11","0.00","0.02","0.00","0.08","0.69","0.15","0.15",27290,"0.41","0.59","0.31","0.29",58666,"0.27","0.59","0.13","0.46","0.53"
"90502",2.2462,"District 4","4",0.57479,0.255894,73826,35092,4549,"0.37","0.06","0.37","0.00","0.00","0.01","0.16","0.55","0.26","0.16",1529,"0.68","0.32","0.28","0.17",3523,"0.17","0.47","0.36","0.23","0.73"
"90701",1.62629,"District 4","4",1.62629,1,67765,24607,16801,"0.40","0.05","0.36","0.00","0.00","0.00","0.15","0.52","0.26","0.20",4468,"0.48","0.52","0.33","0.28",12191,"0.20","0.51","0.28","0.29","0.68"
"90706",6.16359,"District 4","4",6.16359,1,60011,24628,77195,"0.56","0.13","0.12","0.00","0.01","0.00","0.16","0.67","0.17","0.15",23240,"0.39","0.61","0.29","0.32",49415,"0.23","0.58","0.18","0.36","0.63"
"90713",3.38822,"District 4","4",3.38822,1,102970,38350,28202,"0.29","0.05","0.13","0.00","0.02","0.00","0.47","0.85","0.11","0.03",9111,"0.81","0.19","0.22","0.23",19698,"0.07","0.62","0.31","0.14","0.86"
"90715",1.7263,"District 4","4",1.72422,0.998795,76105,28256,20232,"0.42","0.09","0.27","0.00","0.01","0.00","0.19","0.64","0.22","0.12",6011,"0.57","0.43","0.26","0.31",13855,"0.14","0.58","0.28","0.28","0.72"
"90603",3.2749,"District 4","4",3.2749,1,103535,36806,21584,"0.53","0.01","0.07","0.00","0.00","0.01","0.37","0.88","0.09","0.03",6661,"0.80","0.20","0.21","0.16",14773,"0.07","0.60","0.33","0.11","0.88"
"90245",5.47574,"District 4","4",5.45586,0.996369,109577,55948,16670,"0.16","0.04","0.10","0.00","0.00","0.00","0.62","0.84","0.09","0.05",6394,"0.44","0.56","0.25","0.16",11713,"0.03","0.39","0.58","0.15","0.85"
"90254",1.49465,"District 4","4",1.45939,0.976409,136702,96883,19078,"0.09","0.01","0.05","0.01","0.00","0.00","0.78","0.88","0.07","0.04",8745,"0.47","0.53","0.11","0.17",15020,"0.03","0.22","0.76","0.10","0.90"
"91745",12.7946,"District 4","4",11.4012,0.891095,85975,33789,49190,"0.46","0.01","0.40","0.00","0.00","0.00","0.12","0.58","0.29","0.11",14546,"0.75","0.25","0.21","0.31",35399,"0.14","0.52","0.34","0.24","0.76"
