"Zip_Code","Zip_Code_Sq_Mi","Supervisor_District","District","Sq_in_SD","Proportion_in_SD","Median_HH_Income_ZCTA","Per_Capita_Income_ZCTA","Population_in_SD1","Latinx_in_SD1","Black_in_SD1","Asian_in_SD1","Amer_Ind_in_SD1","Pac_Islander_in_SD1","Other_in_SD1","White_in_SD1","Native_Born_in_SD1","Immi_Citizen_in_SD1","Immi_NonCitizen_in_SD1","Housing_Units_in_SD1","Owner_Units_in_SD1","Renter_Units_in_SD1","Rent_Burden_in_SD1","Severe_Rent_Burden_in_SD1","Pop_25_n_older_SD1","Less_than_HS_SD1","HS_Diploma_SD1","Bachelors_or_Higher_SD1","Poor_or_Struggling_SD1","Doing_Okay_SD1"
"90015",1.68167,"District 1","1",1.4378,0.854984,43890,37408,19366,"0.62","0.07","0.16","0.00","0.00","0.00","0.13","0.54","0.14","0.30",8781,"0.12","0.88","0.25","0.29",13391,"0.27","0.33","0.39","0.55","0.44"
"91732",4.69637,"District 1","1",4.52096,0.96265,51268,18709,60555,"0.66","0.00","0.29","0.00","0.00","0.00","0.04","0.49","0.24","0.26",15466,"0.42","0.58","0.30","0.31",40433,"0.39","0.48","0.13","0.47","0.52"
"90040",5.56151,"District 1","1",5.56146,0.999991,47120,19476,12328,"0.95","0.02","0.00","0.01","0.00","0.00","0.01","0.64","0.18","0.18",3461,"0.47","0.53","0.27","0.22",8169,"0.42","0.48","0.10","0.39","0.59"
"90041",3.62293,"District 1","1",3.60544,0.995172,85971,40317,28950,"0.36","0.02","0.28","0.00","0.00","0.00","0.30","0.64","0.24","0.11",9614,"0.51","0.49","0.24","0.21",20359,"0.11","0.43","0.47","0.23","0.71"
"90601",11.5836,"District 1","1",2.75716,0.238023,76732,33146,7629,"0.70","0.01","0.07","0.01","0.00","0.00","0.20","0.82","0.12","0.06",2614,"0.59","0.41","0.26","0.22",5388,"0.12","0.60","0.28","0.25","0.75"
"91790",5.80614,"District 1","1",5.80605,0.999985,82128,28287,45443,"0.60","0.02","0.22","0.00","0.01","0.00","0.12","0.67","0.21","0.11",12254,"0.65","0.35","0.27","0.26",30869,"0.17","0.60","0.23","0.28","0.70"
"91792",3.82893,"District 1","1",3.82893,1,82954,28795,29619,"0.43","0.06","0.42","0.00","0.00","0.00","0.07","0.55","0.30","0.14",8585,"0.56","0.44","0.18","0.27",20954,"0.12","0.54","0.34","0.25","0.75"
"90660",8.21884,"District 1","1",8.21525,0.999563,67636,23449,62973,"0.91","0.01","0.03","0.00","0.00","0.00","0.05","0.69","0.18","0.12",16845,"0.68","0.32","0.26","0.24",42316,"0.29","0.58","0.13","0.29","0.70"
"90058",6.05394,"District 1","1",5.53736,0.914671,21964,10433,2486,"0.90","0.07","0.00","0.00","0.00","0.00","0.02","0.63","0.10","0.27",646,"0.12","0.88","0.24","0.27",1205,"0.57","0.38","0.06","0.69","0.31"
"91755",3.15222,"District 1","1",3.15159,0.9998,58411,28673,26798,"0.23","0.00","0.71","0.01","0.01","0.00","0.04","0.41","0.36","0.22",8663,"0.49","0.51","0.25","0.34",20858,"0.24","0.48","0.28","0.37","0.62"
"91733",6.97943,"District 1","1",6.97943,1,50691,17133,45365,"0.76","0.00","0.21","0.00","0.01","0.00","0.02","0.51","0.22","0.27",11026,"0.45","0.55","0.25","0.32",29648,"0.45","0.45","0.10","0.51","0.48"
"91746",5.76226,"District 1","1",5.72115,0.992866,70825,20406,29497,"0.83","0.01","0.12","0.00","0.00","0.00","0.03","0.60","0.22","0.16",6622,"0.74","0.26","0.25","0.27",19701,"0.34","0.53","0.13","0.33","0.66"
"91748",14.58,"District 1","1",2.87089,0.196906,74438,28711,9270,"0.27","0.01","0.63","0.00","0.00","0.00","0.08","0.45","0.32","0.22",2670,"0.62","0.38","0.26","0.29",6709,"0.14","0.47","0.39","0.28","0.72"
"90280",7.39239,"District 1","1",7.3054,0.988232,52321,18031,93528,"0.96","0.00","0.01","0.00","0.00","0.00","0.03","0.57","0.19","0.23",23788,"0.43","0.57","0.30","0.29",57411,"0.43","0.47","0.09","0.45","0.55"
"91722",4.12745,"District 1","1",0.752015,0.182198,80089,26693,6310,"0.65","0.02","0.13","0.00","0.00","0.00","0.17","0.68","0.21","0.11",1793,"0.70","0.30","0.24","0.27",4307,"0.18","0.61","0.21","0.26","0.74"
"90201",6.05769,"District 1","1",6.05202,0.999064,44046,14257,101870,"0.94","0.01","0.01","0.00","0.00","0.00","0.04","0.57","0.13","0.29",24441,"0.23","0.77","0.30","0.32",59940,"0.49","0.45","0.06","0.58","0.42"
"91706",14.2638,"District 1","1",14.2619,0.999867,65755,20220,76920,"0.75","0.01","0.19","0.00","0.00","0.00","0.04","0.55","0.24","0.20",18326,"0.57","0.43","0.26","0.29",50547,"0.33","0.53","0.13","0.37","0.62"
"91770",6.48105,"District 1","1",6.46917,0.998167,59776,21710,62588,"0.33","0.00","0.61","0.00","0.00","0.00","0.04","0.43","0.36","0.19",16617,"0.51","0.49","0.28","0.29",44988,"0.32","0.47","0.21","0.40","0.59"
"91789",15.6642,"District 1","1",11.8714,0.757868,101841,39479,33680,"0.22","0.03","0.61","0.00","0.00","0.00","0.11","0.51","0.37","0.11",10116,"0.83","0.17","0.18","0.24",24518,"0.08","0.41","0.51","0.18","0.81"
"90042",4.68883,"District 1","1",4.68053,0.99823,64267,30575,63081,"0.63","0.02","0.13","0.00","0.00","0.01","0.19","0.62","0.18","0.18",20980,"0.45","0.55","0.24","0.25",45907,"0.23","0.45","0.32","0.36","0.63"
"90032",4.7806,"District 1","1",4.77751,0.999354,57225,22803,48000,"0.78","0.02","0.11","0.00","0.00","0.00","0.08","0.65","0.18","0.16",13484,"0.50","0.50","0.26","0.28",31429,"0.34","0.46","0.20","0.42","0.56"
"90007",2.45975,"District 1","1",1.1733,0.477,27406,17808,20241,"0.51","0.10","0.19","0.00","0.00","0.00","0.16","0.56","0.13","0.30",5685,"0.12","0.88","0.24","0.35",9630,"0.35","0.39","0.27","0.57","0.28"
